create_Time,ticker,count
12/1/2020,CIA,2
12/1/2020,NIO,2
12/1/2020,IT,2
12/1/2020,WMT,1
12/1/2020,VS,1
12/1/2020,HE,1
12/1/2020,AAPL,1
12/1/2020,AMZN,1
12/1/2020,DO,1
12/1/2020,DOMO,1
12/1/2020,GM,1
12/1/2020,GOOG,1
12/1/2020,JPM,1
12/1/2020,VC,1
12/1/2020,NYT,1
12/1/2020,PR,1
12/1/2020,PT,1
12/1/2020,SEE,1
12/1/2020,SP,1
12/1/2020,T,1
12/1/2020,TOP,1
12/1/2020,TSLA,1
12/1/2020,UP,1
12/2/2020,PLTR,21
12/2/2020,MSFT,16
12/2/2020,GME,8
12/2/2020,NIO,2
12/2/2020,SOR,2
12/2/2020,BB,2
12/2/2020,CC,1
12/2/2020,DTE,1
12/2/2020,MNTS,1
12/2/2020,MS,1
12/2/2020,NKLA,1
12/2/2020,RAM,1
12/2/2020,SOLO,1
12/2/2020,TSLA,1
12/2/2020,BILL,1
12/3/2020,PLTR,14
12/3/2020,PT,10
12/3/2020,CLVR,9
12/3/2020,NIO,7
12/3/2020,GME,7
12/3/2020,TSLA,5
12/3/2020,AMD,5
12/3/2020,ACB,2
12/3/2020,CAN,1
12/3/2020,CRSR,1
12/3/2020,CX,1
12/3/2020,IT,1
12/3/2020,LAZR,1
12/3/2020,LI,1
12/3/2020,PM,1
12/3/2020,RC,1
12/3/2020,SEM,1
12/3/2020,SNOW,1
12/4/2020,PLTR,9
12/4/2020,TSLA,6
12/4/2020,CRM,4
12/4/2020,GME,4
12/4/2020,PT,4
12/4/2020,AMD,3
12/4/2020,NSA,2
12/4/2020,AAL,1
12/4/2020,ANTE,1
12/4/2020,EC,1
12/4/2020,GPS,1
12/4/2020,NIO,1
12/4/2020,WFC,1
12/4/2020,ZM,1
12/5/2020,GME,10
12/5/2020,PLTR,9
12/5/2020,TU,7
12/5/2020,BB,5
12/5/2020,TSLA,5
12/5/2020,NIO,4
12/5/2020,CRSP,3
12/5/2020,PT,1
12/5/2020,AAPL,1
12/5/2020,AMD,1
12/5/2020,BABA,1
12/5/2020,CRSR,1
12/5/2020,CRWD,1
12/5/2020,ELSE,1
12/5/2020,ID,1
